player_Name	country	Player_id	Birth_year	Birth_month	Birth_day	height	weight	final_game
aadhar-mathur	IND	1	1995	1	31	164	81	2003
aadhar-mathur_yunqian-zhou	IND	2	1991	7	30	181	46	1996
aadikh-sardesai	IND	3	1989	8	5	180	66	2003
aadil-murtaza	PAK	4	1987	12	2	157	78	1996
aaditya-dahiya	IND	5	1993	1	26	164	83	2006
aaditya-dahiya_aditya-raj-jaiswal	KEN	6	1975	11	23	180	77	1997
aaditya-dahiya_shivam-shah	IND	7	1976	7	23	186	81	1997
aaditya-nikam	IND	8	1991	5	2	182	63	2008
aaditya-tewari	IND	9	1993	4	1	179	68	2009
aaditya-tewari_arpit-sharma	IND	10	1975	6	23	165	58	2011
aaditya-tewari_bhavesh-gour	IND	11	1992	10	28	186	70	2008
aaditya-tewari_jatin-dahiya	IND	12	1994	6	21	161	79	2002
aaditya-tewari_kunal-anand	IND	13	1993	4	17	166	65	2001
aaditya-tewari_neishit-vakil	IND	14	1988	11	16	169	80	2002
aaditya-tewari_sidharth-rawat	IND	15	1978	9	28	170	51	1996
aaditya-tewari_vivek-shokeen	IND	16	1991	12	11	167	58	2009
aadrian-hasker	USA	17	1990	1	30	179	56	1997
a.-aguilar	MEX	18	1990	8	4	174	60	2002
aahil-saleh	KEN	19	1996	10	13	181	72	1997
aahil-saleh_andritoavina-ratsimandresy	MAD	20	1989	12	23	174	76	2002
aahil-saleh_petty-andanda	KEN	21	1981	10	22	150	75	2003
aakarshit-mahajan	IND	22	1984	8	17	166	56	2009
aakash-goyal	IND	23	1981	11	27	164	61	1997
aakash-goyal_aliaksandr-streltsas	IND	24	1981	5	17	183	87	2002
aakash-goyal_dan-dowson	AUS	25	1994	8	1	169	76	2000
aakash-goyal_itchya-meesommon	IND	26	1991	7	21	156	56	1999
aakash-goyal_jonaied-toshif	IND	27	1981	1	7	168	88	1996
aakash-goyal_luqman-ebrahim	IND	28	1987	9	11	183	45	1998
aakash-goyal_rohan-punj	IND	29	1983	5	13	171	77	1999
aakash-goyal_sohil-singh	IND	30	1993	2	30	162	47	2005
aakash-goyal_stefan-vujic	IND	31	1989	12	5	166	66	2008
aakash-goyal_tejas-kapoor	IND	32	1978	12	29	161	51	1998
aakash-goyal_thomas-hulme	IND	33	1996	5	1	173	80	2012
aakash-lalith-kumar-nanu	IND	34	1995	11	5	159	73	2000
aalam-dhanoa	IND	35	1980	5	29	179	55	1997
aaliaksandr-chekhau	BLR	36	1987	1	11	165	65	1997
aamir-dewan	PAK	37	1992	6	31	181	64	2010
aamir-dewan_nasir-mushtaq-ahmed	PAK	38	1981	4	19	175	54	2009
aamish-pal	IND	39	1984	7	23	160	70	2000
aamish-pal_joe-chong-zhao-jo	MAS	40	1993	10	27	162	48	1999
aamish-pal_varun-banati	IND	41	1991	1	2	149	69	2008
aamish-siddiqui	PAK	42	1993	3	20	154	60	2007
a.-amri_a.-shariman	MAS	43	1978	9	7	152	75	1998
a.-anandappa_priyanjith-devanmina	SRI	44	1996	11	29	185	89	1996
aantoine-richards	BER	45	1976	12	3	149	64	1997
aantorik-ganguly	USA	46	1992	9	4	147	85	2009
aanu-ayegbusi	NGR	47	1993	10	18	156	84	2002
aaqib-m-chowdhury-shuvo	BAN	48	1990	7	21	165	79	2002
aarav-sane	USA	49	1981	11	14	180	88	2010
aarav-sane_balaji-srikrishna	USA	50	1991	2	25	156	82	2004
aare-bedrican-ozmen	EST	51	1995	9	29	151	89	1998
aare-bedrican-ozmen_ilya-snitari	EST	52	1991	8	17	173	81	1998
aare-bedrican-ozmen_ronan-vahtras	EST	53	1982	10	10	179	67	2008
aarian-aahmadipoor	IRI	54	1995	9	29	158	89	2008
aarian-aahmadipoor_morteza-rahimi	IRI	55	1986	5	12	149	72	2012
aarnaud-bordes	FRA	56	1992	4	28	159	86	2006
aaro-heimonen	FIN	57	1981	12	6	177	45	1998
aaro-heimonen_daniel-skripnik	FIN	58	1987	4	8	174	70	2008
aaro-heimonen_jathan-malik	FIN	59	1984	8	15	175	66	2005
aaro-heimonen_miika-roiha	FIN	60	1976	2	4	155	76	1996
aaro-heimonen_nicolas-nietosvaara	FIN	61	1987	1	26	163	66	2000
aaro-heimonen_petja-samuli-berg	FIN	62	1982	10	24	147	62	2009
aaro-heimonen_vilho-lahtinen	FIN	63	1990	3	29	178	73	2001
aaro-heimonen_vilijami-rahnasto	FIN	64	1983	9	8	156	84	2000
aaron-addison	AUS	65	1996	9	16	174	79	2010
aaron-addison_alexander-babanine	AUS	66	1979	1	22	179	58	2005
aaron-addison_blazo-n-djurovic	AUS	67	1993	12	9	159	78	1996
aaron-addison_chanchai-sookton-eng	AUS	68	1986	4	10	156	58	2001
aaron-addison_chris-cooprider	AUS	69	1982	8	13	155	51	2004
aaron-addison_damian-farinola	AUS	70	1993	7	28	156	49	2007
aaron-addison_daniel-guccione	AUS	71	1975	2	30	171	65	2003
aaron-addison_daniel-hobart	AUS	72	1987	5	4	169	87	1997
